,Comuna,Codigo_comuna,annio,0-500000,500001-1000000,1000001-1500000,1500001-2000000,2000001-2500000,2500001-3000000,3000001-3500000,3500001-4000000,4000001-4500000,4500001-5000000,Mayor o igual a 5000001
0,ALTAVISTA,70.0,2017,160,133,41,8,4,0,0,0,0,0,0
1,ALTAVISTA,70.0,2018,209,172,20,38,6,1,1,0,0,0,0
2,ALTAVISTA,70.0,2019,332,216,31,35,8,3,3,1,0,0,1
3,ARANJUEZ,4.0,2017,690,710,204,91,42,16,6,6,4,0,4
4,ARANJUEZ,4.0,2018,941,846,203,175,55,24,19,6,3,0,3
5,ARANJUEZ,4.0,2019,1559,1419,357,372,108,84,44,19,11,17,26
6,ARANJUEZ,4.0,2020,366,277,76,50,23,16,5,8,1,0,1
7,BELEN,16.0,2017,491,518,183,130,59,43,16,13,11,7,16
8,BELEN,16.0,2018,637,607,180,253,78,44,35,25,12,7,39
9,BELEN,16.0,2019,1092,944,296,341,142,94,56,55,25,14,83
10,BELEN,16.0,2020,214,165,68,60,24,20,8,4,9,2,15
11,BUENOS AIRES,9.0,2017,531,567,212,114,62,28,12,6,2,3,6
12,BUENOS AIRES,9.0,2018,726,767,195,217,70,36,19,15,6,2,18
13,BUENOS AIRES,9.0,2019,1380,1303,390,439,176,112,59,52,30,36,78
14,BUENOS AIRES,9.0,2020,220,181,56,63,16,14,10,3,4,4,3
15,CASTILLA,5.0,2017,480,481,162,90,45,31,6,8,1,0,5
16,CASTILLA,5.0,2018,601,552,162,184,57,33,16,7,4,2,3
17,CASTILLA,5.0,2019,1082,946,296,348,143,87,51,32,31,19,45
18,CASTILLA,5.0,2020,236,203,62,77,30,22,9,1,3,0,3
19,DOCE DE OCTUBRE,6.0,2017,783,771,244,83,51,20,4,3,1,2,2
20,DOCE DE OCTUBRE,6.0,2018,1034,911,189,240,67,19,11,8,4,0,1
21,DOCE DE OCTUBRE,6.0,2019,1497,1353,335,364,116,55,30,15,14,1,21
22,DOCE DE OCTUBRE,6.0,2020,393,256,96,91,16,15,4,7,3,1,2
23,EL POBLADO,14.0,2017,30,56,17,20,12,13,0,5,2,2,17
24,EL POBLADO,14.0,2018,29,39,16,14,4,10,4,3,0,4,10
25,EL POBLADO,14.0,2019,49,40,18,27,8,4,11,7,0,7,11
26,EL POBLADO,14.0,2020,8,3,1,4,0,0,1,1,2,0,2
27,GUAYABAL,15.0,2017,182,201,81,52,26,6,1,3,2,0,2
28,GUAYABAL,15.0,2018,201,244,71,90,25,20,10,9,1,3,5
29,GUAYABAL,15.0,2019,334,335,77,112,38,21,11,5,8,4,5
30,GUAYABAL,15.0,2020,27,38,8,18,10,9,1,2,0,2,1
31,LA AMERICA,12.0,2017,156,151,69,52,34,25,12,11,4,7,12
32,LA AMERICA,12.0,2018,177,158,93,85,50,46,11,13,9,9,20
33,LA AMERICA,12.0,2019,227,204,100,86,43,37,19,24,5,6,25
34,LA AMERICA,12.0,2020,20,22,5,16,10,2,3,4,2,1,1
35,LA CANDELARIA,10.0,2017,411,237,71,40,24,7,4,4,1,1,4
36,LA CANDELARIA,10.0,2018,596,351,96,95,25,16,9,7,4,3,5
37,LA CANDELARIA,10.0,2019,982,620,133,160,56,48,20,29,8,8,27
38,LA CANDELARIA,10.0,2020,166,127,27,40,6,8,2,5,0,1,2
39,LAURELES,11.0,2017,88,85,47,29,17,18,8,10,6,11,13
40,LAURELES,11.0,2018,121,87,39,40,26,21,16,18,8,8,18
41,LAURELES,11.0,2019,169,147,68,95,46,45,25,34,15,16,69
42,LAURELES,11.0,2020,50,38,20,29,13,21,8,9,6,7,21
43,MANRIQUE,3.0,2017,941,917,238,114,49,20,7,5,1,0,3
44,MANRIQUE,3.0,2018,1246,1088,195,219,66,22,16,5,0,0,5
45,MANRIQUE,3.0,2019,1907,1524,274,306,84,48,23,10,3,1,11
46,MANRIQUE,3.0,2020,237,174,54,45,17,12,3,5,1,0,0
47,POPULAR,1.0,2017,884,784,171,72,26,10,2,1,0,0,1
48,POPULAR,1.0,2018,1172,925,165,151,37,3,7,3,0,1,1
49,POPULAR,1.0,2019,1309,977,159,162,33,17,5,1,1,1,3
50,POPULAR,1.0,2020,81,55,10,11,5,2,1,0,0,0,1
51,ROBLEDO,7.0,2017,885,922,291,124,65,31,22,6,8,6,6
52,ROBLEDO,7.0,2018,1111,1094,266,282,73,39,37,15,10,5,15
53,ROBLEDO,7.0,2019,1895,1749,453,472,187,126,79,60,28,26,70
54,ROBLEDO,7.0,2020,511,439,139,130,40,34,18,4,9,5,9
55,SAN ANTONIO DE PRADO,80.0,2017,538,576,204,84,36,18,5,7,0,1,2
56,SAN ANTONIO DE PRADO,80.0,2018,736,730,135,201,61,23,15,6,3,1,5
57,SAN ANTONIO DE PRADO,80.0,2019,1072,1090,261,316,98,82,21,17,10,5,35
58,SAN ANTONIO DE PRADO,80.0,2020,180,144,51,50,20,11,3,5,2,0,3
59,SAN CRISTOBAL,60.0,2017,744,575,124,38,18,5,1,2,1,0,1
60,SAN CRISTOBAL,60.0,2018,908,611,104,110,34,13,7,6,1,1,2
61,SAN CRISTOBAL,60.0,2019,1160,767,132,158,51,16,12,5,4,2,11
62,SAN CRISTOBAL,60.0,2020,157,124,43,29,12,9,2,1,1,0,0
63,SAN JAVIER,13.0,2017,865,934,253,113,57,21,8,9,4,3,3
64,SAN JAVIER,13.0,2018,1240,1075,256,216,65,31,15,5,7,5,6
65,SAN JAVIER,13.0,2019,1720,1312,314,280,88,46,29,17,8,6,24
66,SAN JAVIER,13.0,2020,327,224,56,49,11,14,6,4,1,0,7
67,SAN SEBASTIAN DE PALMITAS,50.0,2017,21,15,2,0,0,0,0,0,0,0,0
68,SAN SEBASTIAN DE PALMITAS,50.0,2018,35,16,1,0,0,0,0,0,0,0,0
69,SAN SEBASTIAN DE PALMITAS,50.0,2019,42,31,4,3,1,2,0,0,0,0,2
70,SAN SEBASTIAN DE PALMITAS,50.0,2020,3,3,0,0,0,0,0,0,0,0,0
71,SANTA CRUZ,2.0,2017,594,597,142,63,26,3,4,0,1,0,3
72,SANTA CRUZ,2.0,2018,863,677,122,152,32,10,4,3,1,1,1
73,SANTA CRUZ,2.0,2019,1014,764,152,156,33,13,9,2,2,0,1
74,SANTA CRUZ,2.0,2020,105,104,38,29,6,4,0,0,0,0,0
75,SANTA ELENA,90.0,2017,84,62,18,7,2,1,1,0,1,0,0
76,SANTA ELENA,90.0,2018,118,68,13,16,4,4,3,0,1,0,0
77,SANTA ELENA,90.0,2019,156,90,35,27,17,10,7,6,2,0,11
78,SANTA ELENA,90.0,2020,19,12,8,7,1,0,1,0,1,1,2
79,VILLA HERMOSA,8.0,2017,880,740,176,74,36,11,3,7,1,0,3
80,VILLA HERMOSA,8.0,2018,1307,1056,218,217,69,17,10,5,1,2,4
81,VILLA HERMOSA,8.0,2019,2080,1752,415,410,121,76,40,30,16,14,28
82,VILLA HERMOSA,8.0,2020,434,365,104,82,29,25,6,3,5,0,1
