,lat,long,id,date,category,location,mode,price,details,description,surface,rooms,baths,park
0,6.259681,-75.58603,MC2658892,2021-09-22,Casa,Los colores,Arriendo,$1.600.000,"['Código inmuebleMC2658892', 'Barrio comúnLos colores', 'AntigüedadEntre 10 y 20 años', 'Área construida105 m²', 'Área privada95 m²', 'Valor arriendo$1.600.000', ' Área construida 105 m²', '4Habitaciones', '3Baños', '4Estrato']","Lacasasepuedeutilizarcomobodega,cuentacon4alcobas,3baños,cocinasencilla,2patios,pisoenbaldosa,reddegasycalentador.",,,,
1,6.209506,-75.59207,12116-M2869639,2021-09-22,Casa,GUAYABAL,Arriendo,$1.600.000,"['Código inmueble12116-M2869639', 'Barrio comúnGUAYABAL', 'AntigüedadEntre 10 y 20 años', 'Área construida65 m²', 'Área privada65 m²', 'Valor arriendo$1.600.000', ' Área construida 65 m²', '2Habitaciones', '2Baños', '4Estrato']","CasaindependienteparausoresidencialenarriendoenelsectordeGuayabal,sectortranquilocercaaelparqueMallorca,Av.80,centrocomercialArkadia,malldelamota,AeropuertoOlayaHerrera,terminaldesur,supermercadosdecadena,restaurantes,facilaccesoaviasprincipales,rutasdetransportepublicoyservicioscomplementarios.Pisoenceramica,salacomedor,estudio,biblioteca,estardetv,2alcobasconbañoenlaprincipal,cocinaintegralabierta,patio,yantejardin.",,,,
2,6.240194,-75.60267,12777-M3030897,2021-09-22,Casa,Laureles,Arriendo,$2.200.000,"['Código inmueble12777-M3030897', 'Barrio comúnLaureles', 'AntigüedadEntre 0 y 5 años', 'Área construida120 m²', 'Área privada120 m²', 'Valor arriendo$2.200.000', ' Área construida 120 m²', '1Habitaciones', '2Baños', '5Estrato']","Arriendacasalocalparaoficinas,laurelessectorSantagema,conbalcon,2cubiculos,3baños,lavatraperoscocinetaconreddegas,pisodeceramica,estrato5,àrea120metros,cercaacasablancadela80.",,,,
3,6.2786074,-75.5524,737-6477,2021-09-22,Casa,MANRIQUE,Arriendo,$2.000.000,"['Código inmueble737-6477', 'Barrio comúnMANRIQUE', 'AntigüedadEntre 0 y 5 años', 'Área construida149 m²', 'Área privada149 m²', 'Valor arriendo$2.000.000', ' Área construida 149 m²', '1Habitaciones', '1Baños', '3Estrato']","Arriendolocalcomercialde150mts2,segundopiso,cercaalaestaciónmetroplusdelasesmeraldas,zonamuytransitadavehicularypeatonal,tienepisoencerámica,cocinetaconreddegas,bañosencillo.ArriendaActivosyBienesinmobiliariaexpertaenadministraciónyarrendamientodeapartamentos,casas,locales,bodegasyoficinasenMedellínytodaeláreaMetropolitana.",,,,
4,6.199094,.,12257-M2871392,2021-09-22,Casa,Poblado,Arriendo,$8.000.000,"['Código inmueble12257-M2871392', 'Barrio comúnPoblado', 'AntigüedadEntre 0 y 5 años', 'Área construida450 m²', 'Área privada450 m²', 'Valor arriendo$8.000.000', 'Parqueaderos4', ' Área construida 450 m²', '4Habitaciones', '4Baños', '6Estrato']","HERMOSACASACONAREAPRIVADADE450MTYCONSTRUIDOS380MT,CUENTACON4ALCOBAS,4BAÑOS,ALCOBADESERVICIO,OFICINA,,TALLER,BALCON,ESTUDIO,COCINAINTEGRAL,ZONADEROPAS,SALACOMEDOR,TERRAZACUBIERTA,PATIO,2CUARTOUTILY4PARQUEADEROSCUBIERTOS.PORTERIA24HORAS,CERCAALTESOROYFACILACCESOCONTRANSPORTEPUBLICO.",,,,
5,6.176468,-75.56478,687-M2335293,2021-09-22,Casa,EL POBLADO,Arriendo,$4.200.000,"['Código inmueble687-M2335293', 'Barrio comúnEL POBLADO', 'AntigüedadMás de 20 años', 'Área construida220 m²', 'Área privada220 m²', 'Valor arriendo$4.200.000', 'Parqueaderos2', ' Área construida 220 m²', '3Habitaciones', '4Baños', '6Estrato']","CasaenunidadcerradaenlapartealtadeSanLucasaunacuadradelcolegioMontesori.Sectormuytranquilo,pocoruidoyfacilacceso.Pisoenmadera,dosniveles,salaycomedorindependientes,estudio,cocinaintegral.3alcobasconbañoencadauna,terrazainternacubierta,jardinyparqueaderosindependientescubiertos.Unidadconparqueinfantil,placapolideportiva,zonasverdes,vigilancia24horas,citofoniaycircuitocerradodetv.",,,,
6,6.251017,-75.561165,4673-33769,2021-09-22,Casa,Boston,Arriendo,$4.500.000,"['Código inmueble4673-33769', 'Barrio comúnBoston', 'AntigüedadEntre 10 y 20 años', 'Área construida170 m²', 'Área privada170 m²', 'Valor arriendo$4.500.000', ' Área construida 170 m²', '5Habitaciones', '4Baños', '3Estrato']","Tenemosparaustedesteexcelenteinmueble.Ubicadoenlacallecaracascongirardot.Muycercadeprofamilialaavenidalaplayaylaavenidaoriental.Susampliosespaciossonmuyadecuadosparadestinacioncomoconsultorios,IPSuoficinas.Nopierdalaoportunidaddevisitaresteinmueble.Lebrindaremoslamejorasesoria.",,,,
7,6.1975393,-75.5684,687-M1358837,2021-09-22,Casa,EL POBLADO,Arriendo,$3.700.000,"['Código inmueble687-M1358837', 'Barrio comúnEL POBLADO', 'AntigüedadEntre 5 y 10 años', 'Área construida340 m²', 'Área privada340 m²', 'Valor arriendo$3.700.000', 'Parqueaderos3', ' Área construida 340 m²', '4Habitaciones', '4Baños', '6Estrato']","Casaensectortranquilo,ampliosespacios,cercaacentroscomerciales,zonabancariayrestaurantes,casaconjacuzziyturcoprivado.",,,,
8,6.2011642,-75.55076,2895-1287125,2021-09-22,Casa,EL TESORO,Arriendo,$4.200.000,"['Código inmueble2895-1287125', 'Barrio comúnEL TESORO', 'AntigüedadEntre 5 y 10 años', 'Área construida242 m²', 'Área privada242 m²', 'Valor arriendo$4.200.000', 'Parqueaderos4', ' Área construida 242 m²', '3Habitaciones', '4Baños', '6Estrato']","COD.14736Preciosacasaenarriendo,conunáreade110metrosaproximadamenteporconfirmarsobreescrituras,sectorLaCaleraenElPoblado,1piso,estrato6.Inmuebleconexcelentedistribucióndesusespacios,dondeencontramoszonasocialdesalaycomedorindependientes,saladeestar,comedorauxiliar,tresalcobas,tresclosets,unvestier,alcobadeservicioconsucorrespondientebañoenchapadoycabinadoenacrílico,tresbañosprivados,elprincipalconjacuzzi",,,,
9,6.214335,-75.55258,687-M2556054,2021-09-22,Casa,EL POBLADO,Arriendo,$13.200.000,"['Código inmueble687-M2556054', 'Barrio comúnEL POBLADO', 'AntigüedadEntre 10 y 20 años', 'Área construida400 m²', 'Área privada400 m²', 'Valor arriendo$13.200.000', 'Parqueaderos4', ' Área construida 400 m²', '3Habitaciones', '5Baños', '6Estrato']","Casaenunidadcerrada.Cuentacontresniveles,pisoenmármolymadera,puertadeseguridad,halldeacceso,salaycomedorindependientes,comedorauxiliar,estudio,estardetv,biblioteca,3alcobasmasservicioconbañoencada,tina,cocinaintegraltipoamericano,balcónyterraza.Parqueaderosindependientescubiertos.Launidadcuentaconzonasverdes,parquesinfantiles,vigilancia24horas,citofoniaycircuitocerradodetv(TAMBIENALAVENTAPOR2.200MILLONES)",,,,
