,Medellin comuna,Latitud,Longitud
0,90.0,6.20994085,-75.4981431
1,80.0,6.2211207,-75.6772451
2,70.0,6.2274461,-756354553
3,60.0,6.2782896,-75.6374854
4,50.0,6.31755735,-75.6915714
5,16.0,62.258.758,-756.004.937
6,15.0,62.175.494,-755.848.914
7,14.0,62.010.917,-755.656.654
8,13.0,62.562.742,-756.215.434
9,12.0,62.507.013,-756.079.043
10,11.0,62.492.382,-755.886.543
11,10.0,62.501.021,-755.679.154
12,9.0,62.307.786,-755.565.935
13,8.0,62.585.331,-755.512.674
14,7.0,62.790.741,-755.887.669
15,6.0,6.297.565,-755.775.562
16,5.0,62.936.989,-755.682.636
17,4.0,62.777.235,-755.625.988
18,3.0,62.750.611,-75.545.892
19,2.0,62.969.558,-755.548.517
20,1.0,62.933.437,-755.448.249
